arm,model,mean,sd,median,worst,folds
A,CNN,0.9405848540632722,0.05111676064490109,0.9648062058648129,0.8571076633284457,5
A,KAN,0.9682983043743729,0.0165142210085009,0.9767020397760945,0.9482598783318984,5
A,MLP,0.9590813106892601,0.041040358137685876,0.9776519884506962,0.8956660820852836,5
A,PLS,0.9498142452434243,0.06505754742882505,0.9805479604706173,0.8368302889555296,5
A,RF,0.864861539143407,0.15507249983422447,0.9223798127342097,0.5900334573539754,5
A,SVM,0.7858177104043964,0.269750600518998,0.8800659823192452,0.30729706827285796,5
B,KAN,0.9763748574275102,0.01625654951987217,0.978365438817875,0.9534687338092818,5
B,MLP,0.9588432715878582,0.040263214327636694,0.9766319900572169,0.8956660820852836,5
B,PLS,0.9475733276177897,0.06341401479885721,0.9805479604706173,0.8368302889555296,5
B,RF,0.9662800131746178,0.03431552964604058,0.9835863282984342,0.9063912393115734,5
B,SVM,0.963515262930445,0.02588653119840319,0.9777378861693089,0.9351025733199763,5
F,CNN,0.9343912226537485,0.05298130136712225,0.9533824197122277,0.8464425065740748,5
F,KAN,0.9404058787632664,0.05739985532222979,0.9643612927539528,0.8413825654260472,5
F,MLP,0.9545143019643687,0.04544300772713267,0.9758415000830506,0.8853351905837954,5
F,PLS,0.9748760687835059,0.016990735033974393,0.97018517942032,0.9521901332171083,5
F,RF,0.8648598792265112,0.15567624546064687,0.9223798127342097,0.5890727979928477,5
F,SVM,0.7775550085005899,0.2748431627319106,0.8916468687728909,0.2914042367278942,5
