arm,model,outer,r2,r2_sd_seeds,n_seeds,pp,params
A,CNN,T1,0.9284106707897104,0.00644392764174156,3,snv,"{""channels"": [32, 64], ""lr"": 0.001}"
A,CNN,T2,0.8571076633284457,0.02884290956688346,3,snv,"{""channels"": [32, 64], ""lr"": 0.001}"
A,CNN,T3,0.9648062058648129,0.00447328429482725,3,snv,"{""channels"": [16, 32], ""lr"": 0.001}"
A,CNN,T4,0.9862306970710787,0.0029656558473290483,3,snv,"{""channels"": [32, 64], ""lr"": 0.001}"
A,CNN,T5,0.9663690332623127,0.007587436987776314,3,snv,"{""channels"": [32, 64], ""lr"": 0.001}"
A,KAN,T1,0.9533420450788225,0.046521604321521054,3,snv,"{""grid"": 5, ""n_components"": 16, ""width_hidden"": [3]}"
A,KAN,T2,0.9770392379970464,0.011760911633911866,3,snv,"{""grid"": 5, ""n_components"": 8, ""width_hidden"": [3]}"
A,KAN,T3,0.986148320688003,0.007573061631806744,3,snv,"{""grid"": 5, ""n_components"": 12, ""width_hidden"": [3]}"
A,KAN,T4,0.9767020397760945,0.012550614642280133,3,snv,"{""grid"": 5, ""n_components"": 12, ""width_hidden"": [3]}"
A,KAN,T5,0.9482598783318984,0.02055588980913837,3,snv,"{""grid"": 5, ""n_components"": 12, ""width_hidden"": [3]}"
A,MLP,T1,0.8956660820852836,0.009115426384957052,3,snv,"{""hidden"": [128, 64], ""n_components"": 8}"
A,MLP,T2,0.9776519884506962,0.0029485107373356826,3,snv,"{""hidden"": [128, 64], ""n_components"": 8}"
A,MLP,T3,0.9944480626672788,0.0008175426990964036,3,snv,"{""hidden"": [64, 32], ""n_components"": 8}"
A,MLP,T4,0.9870059946858992,0.004170149897807625,3,snv,"{""hidden"": [64, 32], ""n_components"": 16}"
A,MLP,T5,0.9406344255571422,0.007206132100359325,3,snv,"{""hidden"": [128, 64], ""n_components"": 8}"
A,PLS,T1,0.8368302889555296,,1,snv,"{""n_components"": 8}"
A,PLS,T2,0.9805479604706173,,1,snv,"{""n_components"": 20}"
A,PLS,T3,0.9919854988166804,,1,snv,"{""n_components"": 16}"
A,PLS,T4,0.9877202584122468,,1,snv,"{""n_components"": 20}"
A,PLS,T5,0.9519872195620475,,1,snv,"{""n_components"": 20}"
A,RF,T1,0.5900334573539754,0.018578089076680116,3,snv,"{""max_depth"": 20, ""n_estimators"": 300}"
