arm,model,outer,r2,r2_sd_seeds,n_seeds,pp,params
F,CNN,1,0.8119994067760269,0.003102230836300416,3,sg1,"{""channels"": [8, 16], ""lr"": 0.0003}"
F,CNN,2,0.8421007969134476,0.016543361048159014,3,sg1,"{""channels"": [8, 16], ""lr"": 0.0003}"
F,CNN,3,0.8035422577941804,0.012402718365706712,3,sg1,"{""channels"": [8, 16], ""lr"": 0.0003}"
F,CNN,4,0.8565926289115633,0.01125486784133539,3,sg1,"{""channels"": [8, 16], ""lr"": 0.0003}"
F,KAN,1,0.6402598135990045,0.01604043516774684,3,sg1,"{""grid"": 5, ""n_components"": 24, ""width_hidden"": [16, 8]}"
F,KAN,2,0.7808978913187744,0.026327227201392175,3,sg1,"{""grid"": 5, ""n_components"": 24, ""width_hidden"": [16, 8]}"
F,KAN,3,0.8389386721143287,0.030483892957495727,3,sg1,"{""grid"": 5, ""n_components"": 24, ""width_hidden"": [16, 8]}"
F,KAN,4,0.8524345656152624,0.028286178196251528,3,sg1,"{""grid"": 5, ""n_components"": 24, ""width_hidden"": [16, 8]}"
F,MLP,1,0.756844902176406,0.03715093912354074,3,sg1,"{""hidden"": [128, 64], ""n_components"": 16}"
F,MLP,2,0.8331543320610755,0.010660384548679697,3,sg1,"{""hidden"": [128, 64], ""n_components"": 16}"
F,MLP,3,0.864606581624679,0.006742113886968136,3,sg1,"{""hidden"": [128, 64], ""n_components"": 16}"
F,MLP,4,0.8684465137840517,0.007719823881940351,3,sg1,"{""hidden"": [128, 64], ""n_components"": 16}"
F,PLS,1,0.7084637834906314,,1,sg1,"{""n_components"": 24}"
F,PLS,2,0.7765938944597133,,1,sg1,"{""n_components"": 24}"
F,PLS,3,0.8734770300636852,,1,sg1,"{""n_components"": 24}"
F,PLS,4,0.8452398285577665,,1,sg1,"{""n_components"": 24}"
F,RF,1,0.7724593989392137,0.0010680684641824814,3,sg1,"{""max_depth"": 20, ""n_estimators"": 300}"
F,RF,2,0.8095940320878542,0.0015371206886583741,3,sg1,"{""max_depth"": 20, ""n_estimators"": 300}"
F,RF,3,0.7416941153340404,0.0024462128114871046,3,sg1,"{""max_depth"": 20, ""n_estimators"": 300}"
F,RF,4,0.7930301641805615,0.002183861289937879,3,sg1,"{""max_depth"": 20, ""n_estimators"": 300}"
F,SVM,1,0.6088272031933348,,1,sg1,"{""C"": 10.0, ""gamma"": 0.05}"
F,SVM,2,0.8126609062931452,,1,sg1,"{""C"": 10.0, ""gamma"": 0.05}"
F,SVM,3,0.8230405186263671,,1,sg1,"{""C"": 10.0, ""gamma"": 0.05}"
F,SVM,4,0.8438971003939097,,1,sg1,"{""C"": 10.0, ""gamma"": 0.05}"
